abandon,-2
abandoned,-2
abandons,-2
abducted,-2
abduction,-2
abductions,-2
abhor,-3
abhorred,-3
abhorrent,-3
abhors,-3
absentee,-1
absentees,-1
abuse,-3
abused,-3
abuses,-3
abusive,-3
accident,-2
accidental,-2
accidentally,-2
accidents,-2
accusation,-2
accusations,-2
accuse,-2
accused,-2
accuses,-2
accusing,-2
ache,-2
aching,-2
acrimonious,-3
admit,-1
admits,-1
admitted,-1
admonish,-2
admonished,-2
affected,-1
afflicted,-1
affronted,-1
afraid,-2
aggravate,-2
aggravated,-2
aggravates,-2
aggravating,-2
aggression,-2
aggressions,-2
aggressive,-2
aghast,-2
agonise,-3
agonised,-3
agonises,-3
agonising,-3
agonize,-3
agonized,-3
agonizes,-3
agonizing,-3
alarm,-2
alarmed,-2
alarmist,-2
alarmists,-2
alas,-1
alert,-1
alienation,-2
allergic,-2
alone,-2
ambivalent,-1
anger,-3
angers,-3
angry,-3
anguish,-3
anguished,-3
animosity,-2
annoy,-2
annoyance,-2
annoyed,-2
annoying,-2
annoys,-2
antagonistic,-2
anti,-1
anxiety,-2
anxious,-2
apathetic,-3
apathy,-3
apeshit,-3
apocalyptic,-2
apologise,-1
apologised,-1
apologises,-1
apologising,-1
apologize,-1
apologized,-1
apologizes,-1
apologizing,-1
apology,-1
appalled,-2
appalling,-2
apprehensive,-2
arrest,-2
arrested,-3
arrests,-2
arrogant,-2
ashame,-2
ashamed,-2
ass,-4
assassination,-3
assassinations,-3
assfucking,-4
asshole,-4
attack,-1
attacked,-1
attacking,-1
attacks,-1
avert,-1
averted,-1
averts,-1
avoid,-1
avoided,-1
avoids,-1
await,-1
awaited,-1
awaits,-1
awful,-3
awkward,-2
axe,-1
axed,-1
bad,-3
badass,-3
badly,-3
bailout,-2
bamboozle,-2
bamboozled,-2
bamboozles,-2
ban,-2
banish,-1
bankrupt,-3
bankster,-3
banned,-2
barrier,-2
bastard,-5
bastards,-5
battle,-1
battles,-1
beaten,-2
beating,-1
belittle,-2
belittled,-2
bereave,-2
bereaved,-2
bereaves,-2
bereaving,-2
betray,-3
betrayal,-3
betrayed,-3
betraying,-3
betrays,-3
bias,-1
biased,-2
bitch,-5
bitches,-5
bitter,-2
bitterly,-2
bizarre,-2
blah,-2
blame,-2
blamed,-2
blames,-2
blaming,-2
blind,-1
block,-1
blocked,-1
blocking,-1
blocks,-1
bloody,-3
blurry,-2
boastful,-2
bomb,-1
bore,-2
bored,-2
boring,-3
bother,-2
bothered,-2
bothers,-2
bothersome,-2
boycott,-2
boycotted,-2
boycotting,-2
boycotts,-2
brainwashing,-3
bribe,-3
broke,-1
broken,-1
brooding,-2
bullied,-2
bullshit,-4
bully,-2
bullying,-2
bummer,-2
burden,-2
burdened,-2
burdening,-2
burdens,-2
can't stand,-3
cancel,-1
cancelled,-1
cancelling,-1
cancels,-1
cancer,-1
careless,-2
cashing in,-2
casualty,-2
catastrophe,-3
catastrophic,-4
cautious,-1
censor,-2
censored,-2
censors,-2
chagrin,-2
chagrined,-2
challenge,-1
chaos,-2
chaotic,-2
charged,-3
charges,-2
charmless,-3
chastise,-3
chastised,-3
chastises,-3
chastising,-3
cheat,-3
cheated,-3
cheater,-3
cheaters,-3
cheats,-3
cheerless,-2
childish,-2
chilling,-1
choke,-2
choked,-2
chokes,-2
choking,-2
clash,-2
clouded,-1
clueless,-2
cock,-5
cocksucker,-5
cocksuckers,-5
cocky,-2
coerced,-2
collapse,-2
collapsed,-2
collapses,-2
collapsing,-2
collide,-1
collides,-1
colliding,-1
collision,-2
collisions,-2
colluding,-3
combat,-1
combats,-1
complacent,-2
complain,-2
complained,-2
complains,-2
condemn,-2
condemnation,-2
condemned,-2
condemns,-2
conflict,-2
conflicting,-2
conflictive,-2
conflicts,-2
confuse,-2
confused,-2
confusing,-2
conspiracy,-3
constrained,-2
contagion,-2
contagions,-2
contagious,-1
contempt,-2
contemptuous,-2
contemptuously,-2
contend,-1
contender,-1
contending,-1
contentious,-2
contestable,-2
controversial,-2
controversially,-2
cornered,-2
corpse,-1
costly,-2
cover-up,-3
coward,-2
cowardly,-2
cramp,-1
crap,-3
crash,-2
crazier,-2
craziest,-2
crazy,-2
crestfallen,-2
cried,-2
cries,-2
crime,-3
criminal,-3
criminals,-3
crisis,-3
critic,-2
criticism,-2
criticize,-2
criticized,-2
criticizes,-2
criticizing,-2
critics,-2
cruel,-3
cruelty,-3
crush,-1
crushed,-2
crushes,-1
crushing,-1
cry,-1
crying,-2
cunt,-5
curse,-1
cut,-1
cuts,-1
cutting,-1
cynic,-2
cynical,-2
cynicism,-2
damage,-3
damages,-3
damn,-4
damned,-4
damnit,-4
danger,-2
darkest,-2
darkness,-1
dead,-3
deadlock,-2
deafening,-1
death,-2
debt,-2
deceit,-3
deceitful,-3
deceive,-3
deceived,-3
deceives,-3
deceiving,-3
deception,-3
defeated,-2
defect,-3
defects,-3
defenseless,-2
defer,-1
deferring,-1
defiant,-1
deficit,-2
degrade,-2
degraded,-2
degrades,-2
dehumanize,-2
dehumanized,-2
dehumanizes,-2
dehumanizing,-2
deject,-2
dejected,-2
dejecting,-2
dejects,-2
delay,-1
delayed,-1
demand,-1
demanded,-1
demanding,-1
demands,-1
demonstration,-1
demoralized,-2
denied,-2
denier,-2
deniers,-2
denies,-2
denounce,-2
denounces,-2
deny,-2
denying,-2
depressed,-2
depressing,-2
derail,-2
derailed,-2
derails,-2
deride,-2
derided,-2
derides,-2
deriding,-2
derision,-2
despair,-3
despairing,-3
despairs,-3
desperate,-3
desperately,-3
despondent,-3
